entity,value,count
APPLICATION,industrial,59
APPLICATION,water meter housing,44
APPLICATION,suspension bellow,44
APPLICATION,paint can nozzle,41
APPLICATION,electrical & electronics,40
APPLICATION,medical & pharma,40
APPLICATION,automotive & transportation,35
APPLICATION,tailgate protective tube housing,32
APPLICATION,microwave oven,32
APPLICATION,consumer goods,30
APPLICATION,automotive camera base,27
APPLICATION,water pump impeller,25
APPLICATION,washing machine pump,24
APPLICATION,beer machine part,24
APPLICATION,light aligner,24
APPLICATION,5g antenna,23
APPLICATION,automotive seat head cover box,22
APPLICATION,tailgate spring sleeve,21
APPLICATION,libs,19
APPLICATION,gears,18
APPLICATION,machine slide guide,18
APPLICATION,ev connector,16
APPLICATION,autoinjectors,15
APPLICATION,coolant,15
APPLICATION,hips implant,15
APPLICATION,fuel,14
APPLICATION,fuel cap,14
APPLICATION,part in a beer machine,14
APPLICATION,beer machine,14
APPLICATION,exterior,13
APPLICATION,busbar,13
APPLICATION,auto seat head cover box,13
APPLICATION,auto camera base,13
APPLICATION,light in automotives,12
APPLICATION,medical pharma,12
APPLICATION,conveyor belt barrel,12
APPLICATION,connector,12
APPLICATION,automotive,11
APPLICATION,connectors,10
APPLICATION,abrasion sheet,10
APPLICATION,electronics,10
APPLICATION,filtration,9
APPLICATION,cell phone cover,9
APPLICATION,bus-bar,9
APPLICATION,oil pan,9
APPLICATION,bonnet,9
APPLICATION,cvj boots,9
APPLICATION,auto seat headrest,9
APPLICATION,downhole pipe for oil & gas,9
APPLICATION,fuel flange,8
APPLICATION,engine cover,8
APPLICATION,connector port for iv bag,8
APPLICATION,coolant pipes,8
APPLICATION,auto coolant,8
APPLICATION,junction box,8
APPLICATION,nylbond,8
APPLICATION,water pumps,8
APPLICATION,automobiles,8
APPLICATION,electric vehicles,8
APPLICATION,grc lip,8
APPLICATION,suspension,8
APPLICATION,bumper,8
APPLICATION,baby chair for consumer goods,8
APPLICATION,upper frame for console,8
APPLICATION,part for a beer machine,8
