idx,query,filler_names,load_value,load_min,load_max
2,pa610 cf,carbon fiber,,,
7,glass filled toughened nylon,glass fiber,,,
26,40% glass reinforced pa66,glass fiber,40,35,45
29,uv resistant long glass fiber,long glass fiber,,,
31,pa6 gf35,glass fiber,35,30,40
32,40% glass reinforced ppa,glass fiber,40,35,45
33,"pbt, unfilled",unfilled,,,
36,ppa-gf33,glass fiber,33,28,38
42,looking for a ppa gf30 with rti 150,glass fiber,30,25,35
44,glass fiber max filler 90%,glass fiber,,,90
46,pbt 25% gf,glass fiber,25,20,30
52,can you recommend a carbon fiber reinforced ud tape for use in composite piping applications,carbon fiber,,,
58,pa6 gf30 with 20% recycling,glass fiber,30,25,35
62,a pom with 20% glass beads,glass beads,20,15,25
67,"appearence, glass fiber,molding",glass fiber,,,
73,"pbt, 15% gf, flame retardant",glass fiber,15,10,20
74,short fiber polypropylene,glass fiber,,,
75,looking for a 55d hytrel that is loaded with carbon black at levels >10% up to 25%.,carbon,,10,25
79,"pa612
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ 20% filler: stainless steel (powder or threads, therefore magnetic)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ mfi ~25g/10min (250ÃƒÂ¢Ã‚Â°c, 2.16kg)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ food contact approved",metal,20,15,25
87,what a htn with 35% glass fibr,glass fiber,35,30,40
93,nylon 612 30%gf,glass fiber,30,25,35
95,metal-detectable grade,metal,,,
96,mineral filled pa66,mineral,,,
112,pbt+30%gf,glass fiber,30,25,35
114,zytel pa66 unreinforced,unfilled,,,
120,stainless steel fiber,metal,,,
124,pa66gf30 halogen free,glass fiber,30,25,35
129,pbt long steel fiber,long metal fiber,,,
132,unfilled injection molding food grade pbt,unfilled,,,
133,pa 6/6 30 percent  glass filled flame retardant,glass fiber,30,25,35
135,fiber grades,glass fiber,,,
