idx,query,property_name,property_type,value,min,max,unit,shape
1,tangent delta lower than 0.004,dissipation factor,property,,,0.004,,open upper (<= max)
3,f1 in ul746c,outdoor suitability,ul_property,f1,,,,exact value only
9,pa with tensile modulus higher than 5gpa and elongation bigger than 4%,tensile modulus,property,,5.0,,gpa,open lower (>= min)
9,pa with tensile modulus higher than 5gpa and elongation bigger than 4%,tensile strain,property,,4.0,,%,open lower (>= min)
10,"anti uv shorea 73, tpv, extrusion",shore a hardness iso 48-4 / iso 868 15s,property,73.0,65.7,80.3,,banded (value +/- band)
11,pa66 extrusion grade that is v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
11,pa66 extrusion grade that is v0,flame rating,ul_sub_property,v-0,,,,exact value only
15,products with continuous use temperature above 200c,continuous service temperature iec 60216-1 (Â°c),property,,200.0,,c,open lower (>= min)
19,stiff grade,tensile modulus,property,,,,,categorical / no number
20,low stiff grade,tensile modulus,property,low,,,,exact value only
23,impact strength,impact strength,property,,,,,categorical / no number
27,hytrel shore d 55; mvr36,shore d hardness iso 48-4 / iso 868 15s,property,55.0,49.5,60.5,,banded (value +/- band)
27,hytrel shore d 55; mvr36,melt volume-flow rate iso 1133 (cmÂ³/10min),property,36.0,32.4,39.6,,banded (value +/- band)
28,find a material  that is heat resistant up to 150 degrees,continuous service temperature iec 60216-1 (Â°c),property,,,150.0,,open upper (<= max)
34,cti=0,comparative tracking index (cti),ul_property,plc 0,,,,exact value only
37,find a material that can withstand 150 degrees,continuous service temperature iec 60216-1 (Â°c),property,,150.0,,,open lower (>= min)
39,high cti pom,comparative tracking index (cti),ul_property,high,,,,exact value only
42,looking for a ppa gf30 with rti 150,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
42,looking for a ppa gf30 with rti 150,relative thermal index,ul_sub_property,150.0,135.0,165.0,,banded (value +/- band)
43,can you recommend a ul listed polypropylene lft grade,minimum thickness (mm),ul_property,,,,,categorical / no number
43,can you recommend a ul listed polypropylene lft grade,flame rating,ul_sub_property,,,,,categorical / no number
50,santoprene f1 v-0,outdoor suitability,ul_property,f1,,,,exact value only
50,santoprene f1 v-0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
50,santoprene f1 v-0,flame rating,ul_sub_property,v-0,,,,exact value only
51,fortron with fc,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
51,fortron with fc,flammability classification,ul_sub_property,,,,,categorical / no number
56,epdm shore a 80,shore a hardness iso 48-4 / iso 868 15s,property,80.0,72.0,88.0,,banded (value +/- band)
59,tpv with low thermal conductiviy,thermal conductivity,property,low,,,,exact value only
60,shore d 65,shore d hardness iso 48-4 / iso 868 15s,property,65.0,58.5,71.5,,banded (value +/- band)
61,"get nylon material with the condition, stress at break more than 190mpa",stress at break,property,,190.0,,mpa,open lower (>= min)
63,pps with tensile strength of 10000,tensile stress,property,10000.0,9000.0,11000.0,,banded (value +/- band)
68,0.4 density,density iso 1183 (kg/mÂ³),property,0.4,0.36,0.44,,banded (value +/- band)
71,please suggest a v0 rated polymer with nsf water approval,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
71,please suggest a v0 rated polymer with nsf water approval,flame rating,ul_sub_property,v-0,,,,exact value only
75,looking for a 55d hytrel that is loaded with carbon black at levels >10% up to 25%.,shore d hardness iso 48-4 / iso 868 15s,property,55.0,49.5,60.5,,banded (value +/- band)
79,"pa612
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ 20% filler: stainless steel (powder or threads, therefore magnetic)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ mfi ~25g/10min (250ÃƒÂ¢Ã‚Â°c, 2.16kg)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ food contact approved",melt mass-flow rate iso 1133 (g/10min),property,25.0,22.5,27.5,g/10min,banded (value +/- band)
81,santoprene grade for extrusion 75 shore a,shore a hardness iso 48-4 / iso 868 15s,property,75.0,67.5,82.5,,banded (value +/- band)
86,hostaform with mfr 13,melt mass-flow rate iso 1133 (g/10min),property,13.0,11.7,14.3,,banded (value +/- band)
89,shrinkage satoprne tpv 8281-90 med,molding shrinkage,property,,,,,categorical / no number
100,pps grade with highest tensile modulus,tensile modulus,property,highest,,,,exact value only
101,pa with tensile modulus higher than 5gpa and strain at break bigger than 3%,tensile modulus,property,,5.0,,gpa,open lower (>= min)
101,pa with tensile modulus higher than 5gpa and strain at break bigger than 3%,strain at break,property,,3.0,,%,open lower (>= min)
109,"softest grade santoprene, > shore a45",shore a hardness iso 48-4 / iso 868 15s,property,,45.0,,,open lower (>= min)
110,6 density,density iso 1183 (kg/mÂ³),property,6.0,5.4,6.6,,banded (value +/- band)
116,find a material  that is heat resistant up to 150 degress,continuous service temperature iec 60216-1 (Â°c),property,,,150.0,,open upper (<= max)
121,celstran v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
121,celstran v0,flame rating,ul_sub_property,v-0,,,,exact value only
125,ul yellow card for 101-87,minimum thickness (mm),ul_property,,,,,categorical / no number
125,ul yellow card for 101-87,flame rating,ul_sub_property,,,,,categorical / no number
131,temperature -100degc,continuous service temperature iec 60216-1 (Â°c),property,-100.0,-110.0,-90.0,degc,banded (value +/- band)
138,tensile modulus of 8000,tensile modulus,property,8000.0,7200.0,8800.0,,banded (value +/- band)
140,30 ml/10 min mfi abs,melt mass-flow rate iso 1133 (g/10min),property,30.0,27.0,33.0,ml/10 min,banded (value +/- band)
141,ford water resistant temperature 300,continuous service temperature iec 60216-1 (Â°c),property,300.0,270.0,330.0,,banded (value +/- band)
143,"uv resistant, pom, with tensile modulus > 10000 mpa",tensile modulus,property,,10000.0,,mpa,open lower (>= min)
145,yellow card frianyl a3 v2 bk 9005/u,minimum thickness (mm),ul_property,,,,,categorical / no number
145,yellow card frianyl a3 v2 bk 9005/u,flame rating,ul_sub_property,,,,,categorical / no number
146,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
146,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",flame rating,ul_sub_property,v-0,,,,exact value only
146,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",comparative tracking index (cti),ul_property,plc 0,,,,exact value only
148,iec 60243,electric strength iec 60243-1 (kv/mm),property,,,,,categorical / no number
149,low df,dissipation factor,property,low,,,,exact value only
150,nylon with high humidity absorption,humidity absorption sim. to iso 62 2mm (%),property,high,,,,exact value only
155,young modulus 1800mpa,tensile modulus,property,1800.0,1620.0,1980.0,mpa,banded (value +/- band)
156,unfilled high impact,impact strength,property,high,,,,exact value only
159,"grade for terminal connectors with v0 at 0,4 mm",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
159,"grade for terminal connectors with v0 at 0,4 mm",flame rating,ul_sub_property,v-0,,,,exact value only
163,high flex modulus nylon,flexural modulus,property,high,,,,exact value only
164,polyamide for structural applications with good creep resistance,tensile creep modulus,property,good,,,,exact value only
167,"pps grade with highest tensile modulus, at the same time exclude long glass fiber",tensile modulus,property,highest,,,,exact value only
168,"pa6, tensile modulus 3100 mpa, density 1.13 g/cm3, shrinkage 1%",tensile modulus,property,3100.0,2790.0,3410.0,mpa,banded (value +/- band)
168,"pa6, tensile modulus 3100 mpa, density 1.13 g/cm3, shrinkage 1%",density iso 1183 (kg/mÂ³),property,1.13,1.017,1.243,g/cm3,banded (value +/- band)
168,"pa6, tensile modulus 3100 mpa, density 1.13 g/cm3, shrinkage 1%",molding shrinkage,property,,,1.0,%,open upper (<= max)
169,tpc et 63 shore d,shore d hardness iso 48-4 / iso 868 15s,property,63.0,56.7,69.3,,banded (value +/- band)
170,v0 halogene free,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
170,v0 halogene free,flame rating,ul_sub_property,v-0,,,,exact value only
172,compression set below 10%,compression set,property,,,10.0,%,open upper (<= max)
174,ppa with tensile modulus superior than 19000mpa,tensile modulus,property,,19000.0,,mpa,open lower (>= min)
175,santoprene in natural color and a shore a hardness of 70,shore a hardness iso 48-4 / iso 868 15s,property,70.0,63.0,77.0,,banded (value +/- band)
178,"v0
f1
cti = 600",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
178,"v0
f1
cti = 600",flame rating,ul_sub_property,v-0,,,,exact value only
178,"v0
f1
cti = 600",outdoor suitability,ul_property,f1,,,,exact value only
178,"v0
f1
cti = 600",comparative tracking index (cti),ul_property,600.0,540.0,660.0,,banded (value +/- band)
182,hytrel grade with a shore a hardness between 55 and 70,shore a hardness iso 48-4 / iso 868 15s,property,,55.0,70.0,,explicit range
183,"zytel grade with tensile modulus higher than 7gpa, and tensile stress at break higher than 3.5%",tensile modulus,property,,7.0,,gpa,open lower (>= min)
183,"zytel grade with tensile modulus higher than 7gpa, and tensile stress at break higher than 3.5%",stress at break,property,,3.5,,%,open lower (>= min)
191,pa6 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
191,pa6 v0,flame rating,ul_sub_property,v-0,,,,exact value only
192,ppa with high cti,comparative tracking index (cti),ul_property,high,,,,exact value only
193,high cti and high thermal shock grade,comparative tracking index (cti),ul_property,high,,,,exact value only
200,need a grade with a dielectric strength of 30 and gwfi of 700 at 1mm,dielectric strength,ul_property,30.0,27.0,33.0,,banded (value +/- band)
200,need a grade with a dielectric strength of 30 and gwfi of 700 at 1mm,minimum thickness (mm),ul_property,1.0,,,mm,exact value only
200,need a grade with a dielectric strength of 30 and gwfi of 700 at 1mm,glow wire flammability index,ul_sub_property,700.0,630.0,770.0,,banded (value +/- band)
202,sebs shore 60-70,shore,property,,60.0,70.0,,explicit range
216,santoprene shore a 40,shore a hardness iso 48-4 / iso 868 15s,property,40.0,36.0,44.0,,banded (value +/- band)
262,creep data for pom,tensile creep modulus,property,,,,,categorical / no number
267,"thermal conductive,electrical insulation,pa",dielectric strength,ul_property,,,,,categorical / no number
268,tangent delta lower than 0.004,dissipation factor,property,,,0.004,,open upper (<= max)
270,f1 in ul746c,outdoor suitability,ul_property,f1,,,,exact value only
276,pa with tensile modulus higher than 5gpa and elongation bigger than 4%,tensile modulus,property,,5.0,,gpa,open lower (>= min)
276,pa with tensile modulus higher than 5gpa and elongation bigger than 4%,tensile strain,property,,4.0,,%,open lower (>= min)
277,"anti uv shorea 73, tpv, extrusion",shore a hardness iso 48-4 / iso 868 15s,property,73.0,65.7,80.3,,banded (value +/- band)
278,pa66 extrusion grade that is v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
278,pa66 extrusion grade that is v0,flame rating,ul_sub_property,v-0,,,,exact value only
282,products with continuous use temperature above 200c,continuous service temperature iec 60216-1 (Â°c),property,,200.0,,c,open lower (>= min)
286,stiff grade,tensile modulus,property,,,,,categorical / no number
287,low stiff grade,tensile modulus,property,low,,,,exact value only
290,impact strength,impact strength,property,,,,,categorical / no number
294,hytrel shore d 55; mvr36,shore d hardness iso 48-4 / iso 868 15s,property,55.0,49.5,60.5,,banded (value +/- band)
294,hytrel shore d 55; mvr36,melt volume-flow rate iso 1133 (cmÂ³/10min),property,36.0,32.4,39.6,,banded (value +/- band)
295,find a material  that is heat resistant up to 150 degrees,continuous service temperature iec 60216-1 (Â°c),property,,,150.0,,open upper (<= max)
301,cti=0,comparative tracking index (cti),ul_property,plc 0,,,,exact value only
304,find a material that can withstand 150 degrees,continuous service temperature iec 60216-1 (Â°c),property,,150.0,,,open lower (>= min)
306,high cti pom,comparative tracking index (cti),ul_property,high,,,,exact value only
309,looking for a ppa gf30 with rti 150,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
309,looking for a ppa gf30 with rti 150,relative thermal index,ul_sub_property,150.0,135.0,165.0,,banded (value +/- band)
310,can you recommend a ul listed polypropylene lft grade,minimum thickness (mm),ul_property,,,,,categorical / no number
310,can you recommend a ul listed polypropylene lft grade,flame rating,ul_sub_property,,,,,categorical / no number
317,santoprene f1 v-0,outdoor suitability,ul_property,f1,,,,exact value only
317,santoprene f1 v-0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
317,santoprene f1 v-0,flame rating,ul_sub_property,v-0,,,,exact value only
318,fortron with fc,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
318,fortron with fc,flammability classification,ul_sub_property,,,,,categorical / no number
323,epdm shore a 80,shore a hardness iso 48-4 / iso 868 15s,property,80.0,72.0,88.0,,banded (value +/- band)
326,tpv with low thermal conductiviy,thermal conductivity,property,low,,,,exact value only
327,shore d 65,shore d hardness iso 48-4 / iso 868 15s,property,65.0,58.5,71.5,,banded (value +/- band)
328,"get nylon material with the condition, stress at break more than 190mpa",stress at break,property,,190.0,,mpa,open lower (>= min)
330,pps with tensile strength of 10000,tensile stress,property,10000.0,9000.0,11000.0,,banded (value +/- band)
335,0.4 density,density iso 1183 (kg/mÂ³),property,0.4,0.36,0.44,,banded (value +/- band)
338,please suggest a v0 rated polymer with nsf water approval,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
338,please suggest a v0 rated polymer with nsf water approval,flame rating,ul_sub_property,v-0,,,,exact value only
342,looking for a 55d hytrel that is loaded with carbon black at levels >10% up to 25%.,shore d hardness iso 48-4 / iso 868 15s,property,55.0,49.5,60.5,,banded (value +/- band)
346,"pa612
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ 20% filler: stainless steel (powder or threads, therefore magnetic)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ mfi ~25g/10min (250ÃƒÂ¢Ã‚Â°c, 2.16kg)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ food contact approved",melt mass-flow rate iso 1133 (g/10min),property,25.0,22.5,27.5,g/10min,banded (value +/- band)
348,santoprene grade for extrusion 75 shore a,shore a hardness iso 48-4 / iso 868 15s,property,75.0,67.5,82.5,,banded (value +/- band)
353,hostaform with mfr 13,melt mass-flow rate iso 1133 (g/10min),property,13.0,11.7,14.3,,banded (value +/- band)
356,shrinkage satoprne tpv 8281-90 med,molding shrinkage,property,,,,,categorical / no number
367,pps grade with highest tensile modulus,tensile modulus,property,highest,,,,exact value only
368,pa with tensile modulus higher than 5gpa and strain at break bigger than 3%,tensile modulus,property,,5.0,,gpa,open lower (>= min)
368,pa with tensile modulus higher than 5gpa and strain at break bigger than 3%,strain at break,property,,3.0,,%,open lower (>= min)
376,"softest grade santoprene, > shore a45",shore a hardness iso 48-4 / iso 868 15s,property,,45.0,,,open lower (>= min)
377,6 density,density iso 1183 (kg/mÂ³),property,6.0,5.4,6.6,,banded (value +/- band)
383,find a material  that is heat resistant up to 150 degress,continuous service temperature iec 60216-1 (Â°c),property,,,150.0,,open upper (<= max)
388,celstran v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
388,celstran v0,flame rating,ul_sub_property,v-0,,,,exact value only
392,ul yellow card for 101-87,minimum thickness (mm),ul_property,,,,,categorical / no number
392,ul yellow card for 101-87,flame rating,ul_sub_property,,,,,categorical / no number
398,temperature -100degc,continuous service temperature iec 60216-1 (Â°c),property,-100.0,-110.0,-90.0,degc,banded (value +/- band)
405,tensile modulus of 8000,tensile modulus,property,8000.0,7200.0,8800.0,,banded (value +/- band)
407,30 ml/10 min mfi abs,melt mass-flow rate iso 1133 (g/10min),property,30.0,27.0,33.0,ml/10 min,banded (value +/- band)
408,ford water resistant temperature 300,continuous service temperature iec 60216-1 (Â°c),property,300.0,270.0,330.0,,banded (value +/- band)
410,"uv resistant, pom, with tensile modulus > 10000 mpa",tensile modulus,property,,10000.0,,mpa,open lower (>= min)
412,yellow card frianyl a3 v2 bk 9005/u,minimum thickness (mm),ul_property,,,,,categorical / no number
412,yellow card frianyl a3 v2 bk 9005/u,flame rating,ul_sub_property,,,,,categorical / no number
413,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
413,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",flame rating,ul_sub_property,v-0,,,,exact value only
413,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",comparative tracking index (cti),ul_property,plc 0,,,,exact value only
415,iec 60243,electric strength iec 60243-1 (kv/mm),property,,,,,categorical / no number
416,low df,dissipation factor,property,low,,,,exact value only
417,nylon with high humidity absorption,humidity absorption sim. to iso 62 2mm (%),property,high,,,,exact value only
422,young modulus 1800mpa,tensile modulus,property,1800.0,1620.0,1980.0,mpa,banded (value +/- band)
423,unfilled high impact,impact strength,property,high,,,,exact value only
426,"grade for terminal connectors with v0 at 0,4 mm",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
426,"grade for terminal connectors with v0 at 0,4 mm",flame rating,ul_sub_property,v-0,,,,exact value only
430,high flex modulus nylon,flexural modulus,property,high,,,,exact value only
431,polyamide for structural applications with good creep resistance,tensile creep modulus,property,good,,,,exact value only
434,"pps grade with highest tensile modulus, at the same time exclude long glass fiber",tensile modulus,property,highest,,,,exact value only
435,"pa6, tensile modulus 3100 mpa, density 1.13 g/cm3, shrinkage 1%",tensile modulus,property,3100.0,2790.0,3410.0,mpa,banded (value +/- band)
435,"pa6, tensile modulus 3100 mpa, density 1.13 g/cm3, shrinkage 1%",density iso 1183 (kg/mÂ³),property,1.13,1.017,1.243,g/cm3,banded (value +/- band)
435,"pa6, tensile modulus 3100 mpa, density 1.13 g/cm3, shrinkage 1%",molding shrinkage,property,,,1.0,%,open upper (<= max)
436,tpc et 63 shore d,shore d hardness iso 48-4 / iso 868 15s,property,63.0,56.7,69.3,,banded (value +/- band)
437,v0 halogene free,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
437,v0 halogene free,flame rating,ul_sub_property,v-0,,,,exact value only
439,compression set below 10%,compression set,property,,,10.0,%,open upper (<= max)
441,ppa with tensile modulus superior than 19000mpa,tensile modulus,property,,19000.0,,mpa,open lower (>= min)
442,santoprene in natural color and a shore a hardness of 70,shore a hardness iso 48-4 / iso 868 15s,property,70.0,63.0,77.0,,banded (value +/- band)
