entity,value,count
APPLICATION,suspension bellow,16
APPLICATION,water meter housing,14
APPLICATION,industrial,12
APPLICATION,paint can nozzle,9
APPLICATION,electrical & electronics,9
APPLICATION,automotive & transportation,8
APPLICATION,automotive seat head cover box,7
APPLICATION,microwave oven,7
APPLICATION,medical & pharma,7
APPLICATION,consumer goods,7
APPLICATION,automotive camera base,7
APPLICATION,libs,6
APPLICATION,tailgate spring sleeve,6
APPLICATION,water pump impeller,6
APPLICATION,bonnet,5
APPLICATION,auto interior,5
APPLICATION,tailgate protective tube housing,5
APPLICATION,engine cover,5
APPLICATION,auto seat head cover box,5
APPLICATION,washing machine pump,4
APPLICATION,floor mat retainer system,4
APPLICATION,gears,4
APPLICATION,motor housing for robot vacuum cleaner,4
APPLICATION,busbar,4
APPLICATION,light in automotives,4
APPLICATION,beer machine part,4
APPLICATION,auto camera base,4
APPLICATION,cvj boots,4
APPLICATION,part for power electronics insulation,4
APPLICATION,passenger wagon interior components,3
APPLICATION,consumer filtration,3
APPLICATION,diaphragm for consumer goods pump,3
APPLICATION,abrasion sheet,3
APPLICATION,ip,3
APPLICATION,part in a beer machine,3
APPLICATION,coolant,3
APPLICATION,fixation for battery pack cable,3
APPLICATION,railway,3
APPLICATION,cvj boot,3
APPLICATION,pushrod retainer for plug-in hybrid electric vehicle (phev),3
APPLICATION,machine slide guide,3
APPLICATION,structural for smart phone station (sps) display,3
APPLICATION,autoinjectors,3
APPLICATION,peristaltic pump tubing,3
APPLICATION,electric vehicle connector,3
APPLICATION,smt solder for vhdm connector,3
APPLICATION,light aligner,3
APPLICATION,5g antenna,3
APPLICATION,auto seat headrest,3
APPLICATION,control handle for exterior mirror,3
APPLICATION,automotive,3
APPLICATION,automotive interior carpets,3
APPLICATION,thermo managment systems,3
APPLICATION,cap for rachet,3
APPLICATION,ev charging,3
APPLICATION,pumping unit for dispenser,2
APPLICATION,part for a beer machine,2
APPLICATION,aircraft,2
APPLICATION,bracket for light,2
APPLICATION,hair dryer,2
APPLICATION,suspension,2
APPLICATION,sliding for farm machine,2
APPLICATION,paint tip dispenser,2
APPLICATION,substrate for armrest,2
APPLICATION,tailgate housing,2
APPLICATION,thermal management,2
APPLICATION,spray valve for perfume,2
APPLICATION,bmw gen6 ix models,2
APPLICATION,microwave component,2
APPLICATION,filtration,2
APPLICATION,wear,2
APPLICATION,shower cartridge valve,2
APPLICATION,batteries,2
APPLICATION,cover for engine,2
APPLICATION,active grille shutter,2
APPLICATION,crossbeam for automotive and transportation,2
APPLICATION,anti-slip mat for door storage box,2
APPLICATION,housing for a tailgate spring,2
APPLICATION,intravenous bag,2
APPLICATION,primary drug container,2
APPLICATION,ev connector,2
APPLICATION,5g antenna for telecommunications,2
APPLICATION,keyboard,2
APPLICATION,lithium-ion battery separator (libs) for electric vehicle (ev),2
APPLICATION,silicon seals,2
APPLICATION,electric powertrain,2
APPLICATION,bus-bar,2
APPLICATION,terminal for battery fuse,2
APPLICATION,rebound bumper for suspension,2
APPLICATION,fuel pump,2
APPLICATION,dosing pump for chemicals,2
APPLICATION,propulsion cooling,2
APPLICATION,5g antenna for electrical & electronics,2
APPLICATION,thermal management module,2
APPLICATION,computer keyboard tab,2
APPLICATION,tmm housing of bev,2
APPLICATION,automobiles,2
APPLICATION,protective housing for tailgate,2
APPLICATION,coffee maker,2
APPLICATION,fuel,2
APPLICATION,handphone holder for motorcycle,2
APPLICATION,valves,2
APPLICATION,body implant,2
APPLICATION,vent grill,2
APPLICATION,mobile antenna,2
APPLICATION,power electronics insulation,2
APPLICATION,auto cross beams,2
APPLICATION,stocking,2
APPLICATION,cable ties,2
APPLICATION,temperature sensor for electric vehicle (ev) battery,2
APPLICATION,sliding rail,2
APPLICATION,bosch fuel cell battery,2
APPLICATION,tooth brush,2
APPLICATION,profiles,2
APPLICATION,fluorescent paints,2
APPLICATION,iv bag,2
APPLICATION,pump in a washing machine,2
APPLICATION,glass run channel,2
APPLICATION,fcv,2
APPLICATION,screw in injection device,2
APPLICATION,ev car,2
APPLICATION,thermostat housing,2
APPLICATION,traction inverter for electric truck,2
APPLICATION,engine parts,2
APPLICATION,nozzle for spray paint,2
APPLICATION,cooling line,2
APPLICATION,stator busbar,2
APPLICATION,ignition coils,2
APPLICATION,ev cooling hoses,2
APPLICATION,mcb ( circuit breakers ),2
APPLICATION,cables,2
APPLICATION,weather seal,2
APPLICATION,healtcare,2
APPLICATION,parts in a light aligner,2
