idx,query,filler_names,load_value,load_min,load_max
27,material with mf,mineral,,,
39,pa66 with 30%glas,glass fiber,30,25,35
55,td 36carbonpowder,mineral | carbon powder,36,31,41
71,materials with total load min 54,,54,54,
81,pa6 gf30 with 20% recycling,glass fiber,30,25,35
114,lasermark glass flake,glass flake,,,
115,laf + metal dbl5410.00pa6gf15 daimler-benz,long aramid fiber | metal,,,
123,"65% glass fiber/mineral pps, gmw17521p-pps-gf40-type2",glass fiber | mineral,65,60,70
159,combined fill max 72 carbon fiber va available in eu,carbon fiber,72,,72
181,fiber,glass fiber,,,
189,a unfilled material for use in a suspension,unfilled,,,
198,total filler load <65 laf reep resistance nylon,long aramid fiber,65,,65
205,pa66 with 25% glass fiber,glass fiber,25,20,30
216,30% glass filled pa66 zytel,glass fiber,30,25,35
247,"nylon 10,10 carbon fibre total filler load 34 - 80%",carbon fiber,34,34,80
249,aramid fiber metal total load of 36 - 92 compressive / bending,aramid fiber | metal,36,36,92
267,58% sebs,,58,53,63
274,pa6 30 glas fibre,glass fiber,30,25,35
283,"a material with 50% glass fiber, water absorption of 2.9% , flexural modulus of 18000 mpa, and service temperature of greater than 130°c",glass fiber,50,45,55
306,material with total fill 25 to 71,,25,25,71
320,materials with total load 45,,45,40,50
325,metal and aramid fiber load with range of 23 - 73% hyundai,metal | aramid fiber,23,23,73
350,"pa66+ptfe, gf, tailgate spring sleeve application",glass fiber,,,
358,"pa 6,6 af glass beads thermal shock",aramid fiber | glass beads,,,
379,"relative permittivity = standard vr 1.99e+15ohm.m not hygroscopic glass fibre 32%, mineral 23%",glass fiber | mineral,55,50,60
385,continuous carbon fiber less than 93,continuous carbon fiber,93,,93
405,material with glass fiber or whisker,glass fiber | whisker,,,
417,"combined load of 35, glasss fiber",glass fiber,35,30,40
435,( gf + md ) 65 shrinkage 0.3-0.5,glass fiber | mineral,65,60,70
462,glass 50 lft,long glass fiber,50,45,55
463,looking for a pom gb25% modulus approx. 3700mpa,glass beads,25,20,30
493,cope cft glass beads at least 60% with good plateable,long glass fiber | glass beads,60,60,
540,pa66+33%gf,glass fiber,33,28,38
541,md long aramid fiber filler load greater than 53% water resistant average temperature of deflection under load 8.0 mpa and relative permittivity at 60hz tensile stress (break) = 303.86 mpa,mineral | long aramid fiber,53,53,
558,"hytrel, thermx, talc long carbon fiber42%",mineral | long carbon fiber,42,37,47
572,pp gf30 that comply with gmw15890p,glass fiber,30,25,35
573,strain at yield 50 mm/min (moderate) tape flex str 7.20e+08 creep resistance longss >57%,long metal fiber,57,57,
580,material with md 62,mineral,62,57,67
584,25% glass filled frianyl,glass fiber,25,20,30
604,"looking for a nylon 10,10 sf greater than 79 with heavy = moderate",metal,79,79,
606,need a carbon powder pom material,carbon powder,,,
610,stronger than 30% glass filled pbt,glass fiber,30,25,35
613,plc4 high amperage arc ignition category gs,glass flake,,,
624,celanyl with lower contents of glass fiber reinforced grade,glass fiber,,,
649,combined load ranging between 35 - 55 glow wire more than or eaual to 162°c,,35,35,55
650,"dtul (good), thermal conductivity of approximately 30.17, esd modified, no filler",unfilled,,,
655,"need to identify an unfilled material with a density of 0.95, and a molecular weight of 600,000",unfilled,,,
658,gs mineral combined load max 76 dbl5410.01pa6-i,glass flake | mineral,76,,76
660,"sf, 88 ve available in north america",metal,88,83,93
669,gf 50 lft materials,long glass fiber,50,45,55
690,no load gmw17327p-tpc-et-type 3m2h general motors (gm),unfilled,,,
698,"looking for a pa6,10 total filler load max 16 with dk at 60hz - 2.7",,16,,16
706,"vectra low clte, graphite fibres",graphite fiber,,,
736,pbt gf15 v-0 heat shock ,glass fiber,15,10,20
774,unfilled pom with sg of 1.4 and mvr of 8.4 cm3/10 min,unfilled,,,
786,what grades do we have that are 25% graphite fiber loading,graphite fiber,25,20,30
810,pps with 40% of glass fiber,glass fiber,40,35,45
854,nominal strain at break = lowest 72 total load,,72,67,77
859,antistatic polyamide 6 long fibreglass,long glass fiber,,,
871,glass fiber max filler 90%,glass fiber,90,,90
899,looking for a eva aramide fibre in the range of 38 - 94 with η: 2450.62,aramid fiber,38,38,94
904,no fill flame resistant pa6-10,unfilled,,,
912,"full load 85% nylon 66,6",,85,80,90
924,i want a graphite fiber filled vectra grade that has a clte (parallel) of 9e-6 cm/cm/degc for a part in a beer machine,graphite fiber,,,
931,pa66 with 30%glas,glass fiber,30,25,35
941,unnotched izod of approximately 276 kj/m² and high lead-free solderability highest mechanical performance or bulk density iso 60 (kg/m³) with fiberglass min 58,glass fiber,58,58,
956,cf + aramid fiber,carbon fiber | aramid fiber,,,
957,pom reinforced with 10% fiberglass,glass fiber,10,5,15
966,pps 65% w filler glass mineral,glass fiber | mineral,65,60,70
971,54% polyoxymethylene,,54,49,59
1001,15% gf filled; flexural strength 158mpa; lds,glass fiber,15,10,20
1006,material with af carbon fiber full load <71,aramid fiber | carbon fiber,71,,71
1020,nylon 6/6 40 filler load with im,,40,35,45
1050,what frianyl grades are 25% filled and include glass fiber,glass fiber,25,20,30
1061,"can you let me know the grades meet all of the following requirements? 1.25% filler load, 2. graphite fiber?",graphite fiber,1.25,-3.75,6.25
1066,un-filled relative thermal index mechanical from 163-210,unfilled,,,
1074,please list materials that are 25% graphite fiber filled,graphite fiber,25,20,30
1084,gf / cd 40  long fiber,long glass fiber | carbon powder,40,35,45
1094,22% geolast,,22,17,27
1097,gf reinforced pps for tm in nev,glass fiber,,,
1104,32%lft,,32,27,37
1116,frianyl pa66 gf washing machine pump,glass fiber,,,
1122,a pa66 gf30 for radator end tank,glass fiber,30,25,35
1127,"pps, 40% gf, =mercedes dbl 5420, water pump impeller",glass fiber,40,35,45
1131,glass filled hostaform,glass fiber,,,
1153,material with gb 4% - 58%,glass beads,4,4,58
1178,"long metal fiber, long aramid fiber",long metal fiber | long aramid fiber,,,
1196,pbt+30%gf,glass fiber,30,25,35
1218,polyamide 6/10 long glass fiber range 22 to 42,long glass fiber,22,22,42
1219,housing for a tailgate spring using a gf reinforced ptfe,glass fiber,,,
1221,general motors (gm) combined fill >73 carbon,carbon,73,73,
1227,combined load upto 48 grades,,48,,48
1246,"strong charpy impact strength notched and effective thermal diffusivity and viscosity number >2035 cm³/g high low viscosity with aramide reinforced, 54",aramid fiber,54,49,59
1275,"rockwell, r 98 and high low formaldehyde excellent hdt 8.0mpa with sf and whisker",metal | whisker,,,
1291,stellantis-chrysler lcf total filler load at least 55,long carbon fiber,55,55,
1294,find unfilled acetal copo with gmw16924p-pom-c2 approval,unfilled,,,
1323,coef. of lin. therm expansion - excellent notched izod impact - 109 kj/m² water resistance long fiberglass and natural organic fiber,long glass fiber | natural organic fiber,,,
1330,looking for a pps total content of 58 with vicat =weak,,58,53,63
1347,electrostatic dissipation polyamide 1010 long stainless steel fiber total load range 64 to 74,long metal fiber,64,64,74
1356,25% glass fiber filled material for ev connector that requires electric strength (ac) of 45 and meets renault ub22c,glass fiber,25,20,30
1362,sf and long carbon fiber full load 24 - 74% in ld-pe,metal | long carbon fiber,24,24,74
1401,ppa gf30% ul94 v0,glass fiber,30,25,35
1411,polytetrafluoroethylene carbon enhanced gloss,carbon,,,
1452,gf + metal stress-strain curve,glass fiber | metal,,,
1459,total load <19,,19,,19
1481,looking for a pvdf laf or long glass fiber with perpendicular break stress =6.74mpa,long aramid fiber | long glass fiber,,,
1486,eva 10%,,10,5,15
1497,sf 26 and long glass fiber 7% carbon footprint pa 6t/66,metal | long glass fiber,33,28,38
1499,contains gf+min reinforced 35%,glass fiber | mineral,35,30,40
1530,fiber 26 natural organic fiber 28 insect resistant,glass fiber | natural organic fiber,54,49,59
1548,material with non filler,unfilled,,,
1553,"full load <57 min thickness 3, plc 0 high current arc ignition",,57,,57
1555,"please list material with tensile modulus 21500, comparative tracking plc4, glass finer and mineral filled, application automotive camera base",glass fiber | mineral,,,
1593,material with glass reinforcement 33 long metal fiber 30%,glass fiber | long metal fiber,63,58,68
1599,a pa10-10 with glass fiber glass beads 66 with range 17,glass fiber | glass beads,66,49,83
1625,polyetheretherketone gs or metal with good lasertr,glass flake | metal,,,
1643,glass run channel extrusion,glass fiber,,,
1647,65% reinforced high flow for automotive camera base,,65,60,70
1658,eva carbon,carbon,,,
1659,weak mvr + full load max 48% laf,long aramid fiber,48,,48
1676,sf carbonfiber >90 grades,metal | carbon fiber,90,90,
1704,long metal fiber aramid fiber upto 80,long metal fiber | aramid fiber,80,,80
1705,i am looking for a gf filled zenite with a flexural strength ~ 158 and special appearance,glass fiber,,,
1720,asa carbon 38 with range +/-21% bio,carbon,38,17,59
1732,glass fiber filled material for oil pan,glass fiber,,,
1739,need a pa6 with the hot-wire ignition (hwi) at a thickness of 0.025 to 0.028 mm and no filler for a dosing pump for chemicals,unfilled,,,
1741,50%ecomid,,50,45,55
1790,material with nylon 6-6 sf and mineral 57% with +/-24% range,metal | mineral,57,33,81
1794,akroloy carbon fiber pa6 alternative,carbon fiber,,,
1810,short fiber polypropylene,glass fiber,,,
1826,pa6 gf flame retardant 5va,glass fiber,,,
1836,what is unfilled porous sintering grade that is chemically resistant and can be used in a li-ion battery separator?,unfilled,,,
1838,glass fiber filled pom,glass fiber,,,
1847,full load upto 50%,,50,,50
1848,glass fiber within range of 20 to 40,glass fiber,20,20,40
1849,22% geolast,,22,17,27
1860,pa6.6 gf reinforced with a red phosphour based flame retardant,glass fiber,,,
1912,static nylon 6 without glass fiber,unfilled,,,
1917,"hot wire ignition (hwi) plc-5, 0.7mm thickness combined load min 53%",,53,53,
1934,unnotched charpy impact =moderate vicat softening temperature iso 306 50°c/h 50n (°c) of 120 within 5% margin silicone glass fiber + long carbon fiber,glass fiber | long carbon fiber,,,
1937,nylon 66 with 30% glass,glass fiber,30,25,35
1948,non halogenated pa66 with 30% glas,glass fiber,30,25,35
1956,"unfilled, gmw16924p-pom-c2, mvr of 8.4, specific gravity of 1.4",unfilled,,,
1986,gf and 25% filler grade,glass fiber,25,20,30
1993,lcf greater than 53,long carbon fiber,53,53,
2003,elec diss copolyester long aramide fiber carbon fiber combined fill of 41 with range 7%,long aramid fiber | carbon fiber,41,34,48
2020,nylon 15%,,15,10,20
2025,materials with carbon filled naturalorganicfiber <66,carbon fiber | natural organic fiber,66,,66
2040,sf,metal,,,
2056,gf30,glass fiber,30,25,35
2065,"non filled uv stability nylon 66,6",unfilled,,,
2096,cpn 4449 ms 50091 mineral,mineral,,,
2098,pa66 glass fiber,glass fiber,,,
2105,25% reinforced plastic with graphite fiber for a part in a beer machine,graphite fiber,25,20,30
2113,please provide the list of v0 glass fiber and mineral materials having a cti plc 3 which can be used in a microwave oven,glass fiber | mineral,,,
2114,pa6 with 30% glass for visible interior parts,glass fiber,30,25,35
2117,af lftr available in asia,aramid fiber,,,
2120,pa66gf30 halogen free,glass fiber,30,25,35
2204,can you recommend a uv resistant long fiber reinforced pp grade that is approved for auto interior,long glass fiber,,,
2228,gf30 tf,glass fiber,30,25,35
2232,"glass fiber, mvr = 15cc/10min, ball indention hardness = 145mpa, tailgate protective tube housing",glass fiber,,,
2235,material with total filler load 32% to 88%,,32,32,88
2247,"abistir, blueridge, whisker",whisker,,,
2265,"fm >= 18gpa, celanyl, 50% filler",,50,45,55
2279,pom gf10 (type: long fiber),long glass fiber,10,5,15
2283,looking for a styrene-butadiene-styrene fibre 21glass beads with maximum dielectric loss 100hz 15.57,glass fiber | glass beads,21,16,26
2289,celstran long glass fiber products,long glass fiber,,,
2296,vectra graphite fiber 25% wear,graphite fiber,25,20,30
2300,strong mv and loi + unfilled,unfilled,,,
2303,hostaform  carbon filler,carbon fiber,,,
2322,pom gf/min,glass fiber | mineral,,,
2367,"pip, omnilon, fibreglass, 37%",glass fiber,37,32,42
2384,pps gf,glass fiber,,,
2386,list unfilled grades of pom,unfilled,,,
2394,longaramidfiber whisker total fill >93 cross-link,long aramid fiber | whisker,93,93,
2398,carbon filled and metal 52 materials,carbon fiber | metal,52,47,57
2401,conductive filler 29 - 51 flameclassification @ 0.6 of 5 vb,metal,29,29,51
2444,laser markable load 55,,55,50,60
2452,looking for an lcp 45% gf/md,glass fiber | mineral,45,40,50
2463,nylon 66 frianyl glass fiber,glass fiber,,,
2480,abistir 15%,,15,10,20
2510,"pa6t,66 mf long glass fiber full load 39% to 57% with lasertr",mineral | long glass fiber,39,39,57
2514,glass fiber and mineral filled grade to use in a microwave oven that has a v0 flammability rating and a cti of plc 3,glass fiber | mineral,,,
2572,combined fill 28 - 78% pa10-10,,28,28,78
2615,pa66 load 41 with 15% range,,41,26,56
2622,pa 666 glass reinforcement 13 whisker 37,glass fiber | whisker,50,45,55
2624,"need a recommendation for a pom ( celcon ) glass filled at 25% , and low warpage.",glass fiber,25,20,30
2645,"15% glass fiber, laser direct structuring, flexural strength ≥150mpa",glass fiber,15,10,20
2657,peek with 30-40%gf reinforced,glass fiber,30,30,40
2674,hot wire ignition @ 2.2 of plc 4 cfr/cf,cfr-cf,,,
2675,"unfilled, thermally conductive, v0, light weighting",unfilled,,,
2677,what grade of pps gf40 is suitable for water immersion?,glass fiber,40,35,45
2687,looking for aramid filler free alternatives,unfilled,,,
2697,full load 48% grades,,48,43,53
2722,polytetrafluoroethylene35%,,35,30,40
2727,pbt unreinforced,unfilled,,,
2792,"grades with glass content, mineral 34",glass fiber | mineral,34,29,39
2803,ve 25%,,25,20,30
2814,pp-lgf30 for ip,long glass fiber,30,25,35
2826,long fiber glass glow-wire flammability in the range of 390 to 1090 °c,long glass fiber,,,
2835,carbon fiber filled pom with specific resistivity of 20 for machine slide guide application,carbon fiber,,,
2881,unreinforced lasertransparent polytetrafluoroethylene,unfilled,,,
2883,"full load 57 anti chemical pa 66,6t",,57,52,62
2887,material with laf,long aramid fiber,,,
2894,customer looking for a glass and ptfe filled celanyl with a total filler content of 45% requested density of 1.48 grams/cm cubed and charpy impact strength > 50 kilojoules / meter^2,glass fiber,45,40,50
2948,pa6-12 carbon fibre filler load of 37 with +/-28 range lasertransparent,carbon fiber,37,9,65
2953,material with full load <71%,,71,,71
2956,full load at least 66 vectra available in eu,,66,66,
2960,cd in nylon 6/6,carbon powder,,,
2977,provide me a polyester grade with a comparative tracking index rating of at least plc 1 and 30% glass fiber,glass fiber,30,25,35
2984,"maximid, zyt, laf 34 carbon fiber 31",long aramid fiber | carbon fiber,65,60,70
2990,metal x,metal,,,
2991,selar tx and cd combined fill <62,carbon powder,62,,62
3000,pps cd10,carbon powder,10,5,15
3003,40% pa 1010,,40,35,45
3017,"i want a chemically resistant, unfilled grade that can be used in a libs and processed via porous sintering.",unfilled,,,
3027,"cs lgf, gf30% , automotive seat head cover box",glass fiber | long glass fiber,30,25,35
3035,pa6 gf flame retardant 5va,glass fiber,,,
3045,aramid reinforced,aramid fiber,,,
3066,impet27%,,27,22,32
3071,low density polyethylene carbon filled + natural organic fiber with good heat resistance,carbon fiber | natural organic fiber,,,
3082,pom 30%,,30,25,35
3086,"oc, ze, 35% load",,35,30,40
3092,"looking for a pa 6t,6i un filled with tapeflexuralstrength=791",unfilled,,,
3108,"36 glass reinforced, 32% longcarbonfiber general motors (gm)",glass fiber | long carbon fiber,68,63,73
3109,"charpydoublenotchedimpactstrengthiso21304-223°c(kj/m²)=low, minimum vicat softing temp 70, lasermark, long steel fiber",long metal fiber,,,
3139,"21% long steel, 14% long aramid fiber 6t6i",long metal fiber | long aramid fiber,35,30,40
3142,gs total load max 49 celanyl available in north america,glass flake,49,,49
3155,cs rynite 61 total load,,61,56,66
3169,rti str max 161 long glass fiber with total content 56%,long glass fiber,56,51,61
3173,"pa66 material with 25% glass fiber filler, electric strength (ac) of 45. needs auto approval for renault ub22c.",glass fiber,25,20,30
3176,material with glass beads total content min 72%,glass beads,72,72,
3181,food contact pbt unfilled injection moldable,unfilled,,,
3220,please find a glass and mineral filled pps.  acceptable shrinkage range is 0.3-0.5% and tensile modulus must be >= 21500,glass fiber | mineral,,,
3225,long carbon fiber glass fiber total fill upto 74% cpn 2270 ms-db-448,long carbon fiber | glass fiber,74,,74
3242,sf + glass fiber grades,metal | glass fiber,,,
3244,"looking for a polymer with a high tensile modulus (>= 21000 mpa) that is both glass fiber and mineral filled, meets auto spec gmw17521p-pps-gf40-type 2 to use in an automotive camera base.",glass fiber | mineral,,,
3247,td 31 with range 22,mineral,31,9,53
3253,total fill 53% to 81% stable to heat eva,,53,53,81
3273,lft grade with glass 50%,long glass fiber,50,45,55
3284,looking for a nylon 66-6t aramide fibre and carbon fiber 32 with +/-15% with d - 62,aramid fiber | carbon fiber,32,17,47
3325,polyoxymethylene total fill 81,,81,76,86
3356,31%sikamid,,31,26,36
3364,carbon pps,carbon,,,
3368,opp maximid td 30 and long glass fiber 40,mineral | long glass fiber,70,65,75
3384,pa66 with gf30 ecomid,glass fiber,30,25,35
3406,"what pps grades have mold shrinkage from 0.3 - 0.5%, cti plc 4, and total filler content of 65% ?",,65,60,70
3433,unfilled pps extrusion,unfilled,,,
3436,looking for a nylon 6t/xt laf whisker total fill upto 51 with tg-111,long aramid fiber | whisker,51,,51
3437,material with stainless steel combined fill ranging between 28 - 84,metal,28,28,84
3457,lcp gf dielectric constant of 3.7,glass fiber,,,
3461,40lft filler grades,long glass fiber,40,35,45
3475,sofprene 15% lcp,,15,10,20
3514,material with td 30% - 52%,mineral,30,30,52
