idx,query,property_name,property_type,value,min,max,unit,shape
14,polyamide for structural applications with good creep resistance,tensile creep modulus,property,good,,,,exact value only
17,grade for support for conveyor belt with flame rate (v-2),flame rating,ul_sub_property,v-2,,,,exact value only
17,grade for support for conveyor belt with flame rate (v-2),minimum thickness (mm),ul_property,0.4,,,mm,exact value only
25,trying to source a pa12 with flame rating ul 94 > v1 at 0.25 mm for ldpe,flame rating,ul_sub_property,v-1,,,,exact value only
25,trying to source a pa12 with flame rating ul 94 > v1 at 0.25 mm for ldpe,minimum thickness (mm),ul_property,0.25,,,mm,exact value only
32,"pa6 grade with a v0 flame rating, flex mod = 10300 and thruplane thermal conductivity = 1.3",flexural modulus,property,10300.0,9270.0,11330.0,,banded (value +/- band)
32,"pa6 grade with a v0 flame rating, flex mod = 10300 and thruplane thermal conductivity = 1.3",thermal conductivity iso 22007-2 through plane (w/(m k)),property,1.3,1.17,1.43,,banded (value +/- band)
32,"pa6 grade with a v0 flame rating, flex mod = 10300 and thruplane thermal conductivity = 1.3",flame rating,ul_sub_property,v-0,,,,exact value only
32,"pa6 grade with a v0 flame rating, flex mod = 10300 and thruplane thermal conductivity = 1.3",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
34,materials that have relative thermal index mechanical of 134 °c in the vicinity of 15%,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,134.0,113.9,154.1,°c,banded (value +/- band)
34,materials that have relative thermal index mechanical of 134 °c in the vicinity of 15%,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
42,"get tpo material with the condition, moderate humid or flexural strain at failure, tape",humidity absorption sim. to iso 62 2mm (%),property,moderate,,,,exact value only
42,"get tpo material with the condition, moderate humid or flexural strain at failure, tape",flexural strain at failure astm d 790 tape 0° (%),property,moderate,,,,exact value only
43,pps unnotched charpy ≧ 50 kj/m2,charpy impact strength,property,50.0,50.0,,kj/m2,open lower (>= min)
46,nylon 6-10 extrusion - wire and cable grade that is high voltage arc tracking - plc4,high voltage arc tracking rate (hvtr),ul_property,plc 4,,,,exact value only
53,pa6t/xt that has cti,comparative tracking index (cti),ul_property,,,,,categorical / no number
73,pa with tensile modulus higher than 5gpa and elongation bigger than 4%,tensile modulus,property,5.0,5.0,,gpa,open lower (>= min)
73,pa with tensile modulus higher than 5gpa and elongation bigger than 4%,tensile strain,property,4.0,4.0,,%,open lower (>= min)
95,my customer is looking for a material that has a tensile modulus of roughly 3000mpa. which grades would fit here?,tensile modulus,property,3000.0,2700.0,3300.0,mpa,banded (value +/- band)
105,looking for the materials for all colors meets tensile modulus of 3000mpa.,tensile modulus,property,3000.0,2700.0,3300.0,mpa,banded (value +/- band)
128,materials that have relative thermal index - mechanical strength (rti str) - 92 °c,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,92.0,82.8,101.2,°c,banded (value +/- band)
128,materials that have relative thermal index - mechanical strength (rti str) - 92 °c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
131,need a grade with a ball pressure =166 from 133 - 236,ball pressure test,ul_property,166.0,133.0,236.0,,banded (value +/- band)
139,no break izod,izod,property,nb,,,,exact value only
152,unnotched charpy impact (nb),charpy impact strength,property,nb,,,,exact value only
161,need a regulatory statement for ldpe with flame rating ul 94 at 3.0 mm for bracket for light,flame rating,ul_sub_property,,,,,categorical / no number
161,need a regulatory statement for ldpe with flame rating ul 94 at 3.0 mm for bracket for light,minimum thickness (mm),ul_property,3.0,,,mm,exact value only
167,find a material that is 62.1 mi,melt mass-flow rate iso 1133 (g/10min),property,62.1,55.89,68.31,,banded (value +/- band)
169,ul yellow card for 101-87,minimum thickness (mm),ul_property,,,,,categorical / no number
169,ul yellow card for 101-87,flame rating,ul_sub_property,,,,,categorical / no number
173,tribological pom mfi 9,melt mass-flow rate iso 1133 (g/10min),property,9.0,8.1,9.9,,banded (value +/- band)
