idx,query,n_chars,n_words,n_entities_populated,entities_populated,GRADE,APPLICATION,BRAND,POLYMER,PROPERTY,FILLER,FEATURE,PROCESSING,DELIVERY_FORM,COMPETITOR_GRADE,AUTO_CERT,RAILWAY_CERT,WATER_CERT,NSF_CERT,INDUSTRY,REGION,prop_count,filler_names,filler_total_load,prop1_name,prop1_type,prop1_value,prop1_min,prop1_max,prop1_unit
1,alternative to radilon a rv500rkc 306 bk,40,7,1,COMPETITOR_GRADE,,,,,,,,,,radilon a rv500rkc 306 bk,,,,,,,0,,,,,,,,
2,akulon s223-hpg5 offset,23,3,1,COMPETITOR_GRADE,,,,,,,,,,akulon s223-hpg5,,,,,,,0,,,,,,,,
3,"pumping unit for dispenser, acetal, bio",39,6,4,"APPLICATION,POLYMER,FEATURE,INDUSTRY",,pumping unit for dispenser,,pom,,,bio-content,,,,,,,,consumer goods,,0,,,,,,,,
4,celstran pbt-gf50-08,20,2,1,GRADE,celstran pbt-gf50-08,,,,,,,,,,,,,,,,0,,,,,,,,
5,cpn 1938 ms.50017 auto approval,31,5,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""stellantis-chrysler"", ""certs"": [""cpn 1938 ms.50017""]}]",,,,,,0,,,,,,,,
6,cfr nsf 61 at 82 degrees,24,6,2,"DELIVERY_FORM,WATER_CERT",,,,,,,,,tape,,,,"[{""standard"": ""nsf 61"", ""temp"": [""82""]}]",,,,0,,,,,,,,
7,offset to dawnprene 11-87av,27,4,1,COMPETITOR_GRADE,,,,,,,,,,dawnprene 11-87av,,,,,,,0,,,,,,,,
8,alternative for sumikasuper e6808lhf,36,4,1,COMPETITOR_GRADE,,,,,,,,,,sumikasuper e6808lhf,,,,,,,0,,,,,,,,
9,alternative for altech pa66 a 2015/510 gf15 im,46,8,1,COMPETITOR_GRADE,,,,,,,,,,altech pa66 a 2015/510 gf15 im,,,,,,,0,,,,,,,,
10,what pa10-10 grades are available in barbados?,46,7,2,"POLYMER,REGION",,,,pa1010,,,,,,,,,,,,americas,0,,,,,,,,
11,wsk-m4d635-a4 ford r22 - hl1 (en 45545-2),41,7,2,"AUTO_CERT,RAILWAY_CERT",,,,,,,,,,,"[{""oem"": ""ford"", ""certs"": [""wsk-m4d635-a4""]}]","[{""standard"": ""en 45545-2"", ""hazard_level"": [""hl1""], ""req_set"": [""r22""]}]",,,,,0,,,,,,,,
12,tarnamid t-30 mcs offset,24,4,1,COMPETITOR_GRADE,,,,,,,,,,tarnamid t-30 mcs,,,,,,,0,,,,,,,,
13,bexloy gpv40c1 nc010 grade,26,4,1,GRADE,bexloy gpv40c1 nc010,,,,,,,,,,,,,,,,0,,,,,,,,
14,polyamide for structural applications with good creep resistance,64,8,3,"APPLICATION,POLYMER,PROPERTY",,structural applications,,pa*,"[{""property_name"": ""tensile creep modulus"", ""modifier"": {""value"": ""good"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,tensile creep modulus,property,good,,,
15,stellantis-chrysler cpn 3692 ms.50103 auto approval,51,6,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""stellantis-chrysler"", ""certs"": [""cpn 3692 ms.50103""]}]",,,,,,0,,,,,,,,
16,bumper for auto,15,3,2,"APPLICATION,INDUSTRY",,bumper for auto,,,,,,,,,,,,,automotive & transportation,,0,,,,,,,,
