Incoming Unit,ceed_unit,formula
gpa,MPa,(x)*1000
in/in,%,(x)*100
psi,MPa,(x)*0.00689476
ºf,°C,((x) - 32)*(5/9)
g/cm3,kg/m³,(x)*1000
g/cm³,kg/m³,(x)*1000
8/cm3,kg/m³,(x)*1000
ft-lb/in2,kJ/m²,(x)*2.10152
ft.lb/in2,kJ/m²,(x)*2.10152
ft-lbs/in2,kJ/m²,(x)*2.10152
ft.lbs/in2,kJ/m²,(x)*2.10152
ft-lb/in,J/m,(x)*53.37881493
ft.lb/in,J/m,(x)*53.37881493
ft-lbs/in,J/m,(x)*53.37881493
ft.lbs/in,J/m,(x)*53.37881493
j/cm,J/m,(x)*0.01
ft*lb/in2,kJ/m²,2.1052*(x)
ft·lb/in²,kJ/m²,2.1052*(x)
×10-5/k,E-4/°C,(x)*0.1
e-4/°c,E-4/°C,x
e-6/k,E-4/°C,(x)*0.001
kgf/cm²,MPa,0.0980665*(x)
g/cm3,kg/m³,1000*(x)
g/cc,kg/m³,1000*(x)
gm/cc,kg/m³,1000*(x)
g/cm³--,kg/m³,1000*(x)
g/cmâ³,kg/m³,1000*(x)
x10-4,E-4,x
psi,MPa,0.00689476*(x)
ohms.cm,Ohm*m,0.01*(x)
ohm*cm,Ohm*m,0.01*(x)
ohm.cm,Ohm*m,0.01*(x)
ohms*cm,Ohm*m,0.01*(x)
ohms·cm,Ohm*m,0.01*(x)
?cm,Ohm*m,0.01*(x)
ohmcm,Ohm*m,0.01*(x)
1e14ohm.cm,Ohm*m,0.01*(x)
ohms/cm,Ohm*m,0.01*(x)
?*cm,Ohm*m,0.01*(x)
o?cm,Ohm*m,0.01*(x)
o·cm,Ohm*m,0.01*(x)
q.cm,Ohm*m,0.01*(x)
q2.cm,Ohm*m,0.01*(x)
?.cm,Ohm*m,0.01*(x)
ohm-cm,Ohm*m,0.01*(x)
°f,°C,((x) - 32)*(5/9)
lb/in3,kg/m³,(x)*27679.9
e-6/°c,E-4/°C,(x)*0.001
e-6,E-6,x
e-5/°c,E-4/°C,(x)*0.01
e-5/,E-4,(x)*0.01
pa,Mpa,x/1000000
pascal,Mpa,x/1000000
kpa,Mpa,x/1000
kilopascal,Mpa,x/1000
gpa,Mpa,x*1000
gigapascal,Mpa,x*1000
bar,Mpa,x*10
mbar,Mpa,x*10000
millibar,Mpa,x*10000
atm,Mpa,x/0.101325
atmosphere,Mpa,x/0.101325
psi,Mpa,x*145.037737797
poundpersquareinch,Mpa,x*145.037737797
ksi,Mpa,x*0.145037737797
kilopoundpersquareinch,Mpa,x*0.145037737797
n/m^2,Mpa,x/1000000
newtonpersquaremeter,Mpa,x/1000000
n/cm^2,Mpa,x/0.1
newtonpersquarecentimeter,Mpa,x/0.1
n/mm^2,Mpa,x*1
newtonpersquaremillimeter,Mpa,x*1
gf/cm^2,Mpa,x*10203.9215686
gram-forcepersquarecentimeter,Mpa,x*10203.9215686
kgf/cm^2,Mpa,x*10.1971621298
kilogram-forcepersquarecentimeter,Mpa,x*10.1971621298
kgf/m^2,Mpa,x/0.000101971621298
kilogram-forcepersquaremeter,Mpa,x/0.000101971621298
torr,Mpa,x*7500.616827
mmhg,Mpa,x*7500.616827
millimeterofmercury,Mpa,x*7500.616827
inhg,Mpa,x*295.299830714
inchofmercury,Mpa,x*295.299830714
fth2o,Mpa,x*334.552565551
footofwater,Mpa,x*334.552565551
inh2o,Mpa,x*4021.4741784
inchofwater,Mpa,x*4021.4741784
dyn/cm^2,Mpa,x*10000000
dynepersquarecentimeter,Mpa,x*10000000
lb/ft^2,Mpa,x*20885.434233
poundpersquarefoot,Mpa,x*20885.434233
lb/in^2,Mpa,x*145.037737797
stf/in^2,Mpa,x*0.0142233433074
shortton-forcepersquareinch,Mpa,x*0.0142233433074
lbf/in^2,Mpa,x*145.037737797
pound-forcepersquareinch,Mpa,x*145.037737797
tf/m^2,Mpa,x*0.101971621298
tonne-forcepersquaremeter,Mpa,x*0.101971621298
tf/cm^2,Mpa,x*10.1971621298
tonne-forcepersquarecentimeter,Mpa,x*10.1971621298
hpa,Mpa,x*10
hectopascal,Mpa,x*10
mmh2o,Mpa,x*101.971621298
millimeterofwater,Mpa,x*101.971621298
cmh2o,Mpa,x*10.1971621298
centimeterofwater,Mpa,x*10.1971621298
fthg,Mpa,x*24.8825757576
footofmercury,Mpa,x*24.8825757576
megapascal,Mpa,x
g/cm³,kg/m³,x * 1000
