Incoming Unit,ceed_unit,formula
mohm*cm,Ohm*cm,x/1000
milliohmcentimeter,Ohm*cm,x/1000
kohm*cm,Ohm*cm,x*1000
kiloohmcentimeter,Ohm*cm,x*1000
mohm*cm,Ohm*cm,x*1000000
megaohmcentimeter,Ohm*cm,x*1000000
gohm*cm,Ohm*cm,x*1000000000
gigaohmcentimeter,Ohm*cm,x*1000000000
tohm*cm,Ohm*cm,x*1000000000000
teraohmcentimeter,Ohm*cm,x*1000000000000
ohm*m,Ohm*cm,x*100
ohmmeter,Ohm*cm,x*100
ohm*mm,Ohm*cm,x/10
ohmmillimeter,Ohm*cm,x/10
ohm*km,Ohm*cm,x*100000
ohmkilometer,Ohm*cm,x*100000
ohm*in,Ohm*cm,x*2.54
ohminch,Ohm*cm,x*2.54
ohm*ft,Ohm*cm,x*30.48
ohmfoot,Ohm*cm,x*30.48
ohm*mi,Ohm*cm,x*160934
ohmmile,Ohm*cm,x*160934
ohm*yd,Ohm*cm,x*91.44
ohmyard,Ohm*cm,x*91.44
μohm*cm,Ohm*cm,x/1000000
microohmcentimeter,Ohm*cm,x/1000000
nohm*cm,Ohm*cm,x/1000000000
nanoohmcentimeter,Ohm*cm,x/1000000000
pohm*cm,Ohm*cm,x/1000000000000
picoohmcentimeter,Ohm*cm,x/1000000000000
fohm*cm,Ohm*cm,x/1000000000000000
femtoohmcentimeter,Ohm*cm,x/1000000000000000
aohm*cm,Ohm*cm,x/1000000000000000000
attoohmcentimeter,Ohm*cm,x/1000000000000000000
zohm*cm,Ohm*cm,x/1000000000000000000000
zeptoohmcentimeter,Ohm*cm,x/1000000000000000000000
yohm*cm,Ohm*cm,x/1000000000000000000000000
yoctoohmcentimeter,Ohm*cm,x/1000000000000000000000000
dohm*cm,Ohm*cm,x/10
deciohmcentimeter,Ohm*cm,x/10
cohm*cm,Ohm*cm,x/100
centiohmcentimeter,Ohm*cm,x/100
hohm*cm,Ohm*cm,x*100
hectoohmcentimeter,Ohm*cm,x*100
daohm*cm,Ohm*cm,x*10
dekaohmcentimeter,Ohm*cm,x*10
ohm*dm,Ohm*cm,x*10
ohmdecimeter,Ohm*cm,x*10
ohm*hm,Ohm*cm,x*10000
ohmhectometer,Ohm*cm,x*10000
ohm*dam,Ohm*cm,x*1000
ohmdekameter,Ohm*cm,x*1000
ohm*µm,Ohm*cm,x/10000
ohmmicrometer,Ohm*cm,x/10000
ohm*nm,Ohm*cm,x/10000000
ohmnanometer,Ohm*cm,x/10000000
ohm*pm,Ohm*cm,x/10000000000
ohmpicometer,Ohm*cm,x/10000000000
ohm*fm,Ohm*cm,x/10000000000000
ohmfemtometer,Ohm*cm,x/10000000000000
ohmcentimeter,Ohm*cm,x
mpa,GPa,x/1000
megapascal,GPa,x/1000
kpa,GPa,x/1000000
kilopascal,GPa,x/1000000
pa,GPa,x/1000000000
pascal,GPa,x/1000000000
psi,GPa,x/145.0377
poundspersquareinch,GPa,x/145.0377
ksi,GPa,x/0.1450377
kilopoundspersquareinch,GPa,x/0.1450377
atm,GPa,x/0.0098692
atmosphere,GPa,x/0.0098692
bar,GPa,x/0.01
mbar,GPa,x/10
millibar,GPa,x/10
torr,GPa,x/7500.62
mmhg,GPa,x/7500.62
millimeterofmercury,GPa,x/7500.62
inhg,GPa,x/191.638
inchofmercury,GPa,x/191.638
mmh2o,GPa,x/101971.6
millimeterofwater,GPa,x/101971.6
cmh2o,GPa,x/10197.16
centimeterofwater,GPa,x/10197.16
mh2o,GPa,x/101.9716
meterofwater,GPa,x/101.9716
fth2o,GPa,x/30.5986
footofwater,GPa,x/30.5986
inh2o,GPa,x/367.007
inchofwater,GPa,x/367.007
dyn/cm^2,GPa,x/10
dynepersquarecentimeter,GPa,x/10
n/m^2,GPa,x/1000000000
newtonpersquaremeter,GPa,x/1000000000
lb/ft^2,GPa,x/20885.434
pound-forcepersquarefoot,GPa,x/20885.434
lb/in^2,GPa,x/145.0377
pound-forcepersquareinch,GPa,x/145.0377
kgf/cm^2,GPa,x/0.0980665
kilogram-forcepersquarecentimeter,GPa,x/0.0980665
kgf/m^2,GPa,x/98066.5
kilogram-forcepersquaremeter,GPa,x/98066.5
gf/cm^2,GPa,x/98.0665
gram-forcepersquarecentimeter,GPa,x/98.0665
gf/m^2,GPa,x/98066.5
gram-forcepersquaremeter,GPa,x/98066.5
tonf/in^2,GPa,x/0.0001450377
ton-force(short)persquareinch,GPa,x/0.0001450377
tonf/ft^2,GPa,x/0.20885434
ton-force(short)persquarefoot,GPa,x/0.20885434
kip/in^2,GPa,x/0.1450377
kip-forcepersquareinch,GPa,x/0.1450377
ozf/in^2,GPa,x/2320.6
ounce-forcepersquareinch,GPa,x/2320.6
ozf/ft^2,GPa,x/14.50377
ounce-forcepersquarefoot,GPa,x/14.50377
gigapascal,GPa,x
kg/m³,g/cm³,x/1000
kilogramspercubicmeter,g/cm³,x/1000
mg/cm³,g/cm³,x*1000
milligramspercubiccentimeter,g/cm³,x*1000
g/m³,g/cm³,x*1e+6
gramspercubicmeter,g/cm³,x*1e+6
kg/cm³,g/cm³,x/1000
kilogramspercubiccentimeter,g/cm³,x/1000
mg/m³,g/cm³,x*1e+9
milligramspercubicmeter,g/cm³,x*1e+9
g/l,g/cm³,x*1000
gramsperliter,g/cm³,x*1000
kg/l,g/cm³,x
kilogramsperliter,g/cm³,x
mg/l,g/cm³,x*1e+6
milligramsperliter,g/cm³,x*1e+6
g/ml,g/cm³,x
gramspermilliliter,g/cm³,x
kg/ml,g/cm³,x/1000
kilogramspermilliliter,g/cm³,x/1000
mg/ml,g/cm³,x*1000
milligramspermilliliter,g/cm³,x*1000
g/mm³,g/cm³,x/1000
gramspercubicmillimeter,g/cm³,x/1000
kg/mm³,g/cm³,x/1e+6
kilogramspercubicmillimeter,g/cm³,x/1e+6
mg/mm³,g/cm³,x
milligramspercubicmillimeter,g/cm³,x
g/ft³,g/cm³,x*28316.8466
gramspercubicfoot,g/cm³,x*28316.8466
kg/ft³,g/cm³,x*28.3168466
kilogramspercubicfoot,g/cm³,x*28.3168466
mg/ft³,g/cm³,x*28316846.6
milligramspercubicfoot,g/cm³,x*28316846.6
g/in³,g/cm³,x*16.387064
gramspercubicinch,g/cm³,x*16.387064
kg/in³,g/cm³,x*0.016387064
kilogramspercubicinch,g/cm³,x*0.016387064
mg/in³,g/cm³,x*16387.064
milligramspercubicinch,g/cm³,x*16387.064
g/yd³,g/cm³,x*764554.858
gramspercubicyard,g/cm³,x*764554.858
kg/yd³,g/cm³,x*764.554858
kilogramspercubicyard,g/cm³,x*764.554858
mg/yd³,g/cm³,x*764554858
milligramspercubicyard,g/cm³,x*764554858
g/gal,g/cm³,x*3785.41178
gramspergallon,g/cm³,x*3785.41178
kg/gal,g/cm³,x*3.78541178
kilogramspergallon,g/cm³,x*3.78541178
mg/gal,g/cm³,x*3785411.78
milligramspergallon,g/cm³,x*3785411.78
g/oz,g/cm³,x*29.5735296
gramsperfluidounce,g/cm³,x*29.5735296
kg/oz,g/cm³,x*0.0295735296
kilogramsperfluidounce,g/cm³,x*0.0295735296
mg/oz,g/cm³,x*29573.5296
milligramsperfluidounce,g/cm³,x*29573.5296
gramspercubiccentimeter,g/cm³,x
nm,µm,x/1000
nanometers,µm,x/1000
mm,µm,x*1000
millimeters,µm,x*1000
cm,µm,"x*10,000"
centimeters,µm,"x*10,000"
m,µm,"x*1,000,000"
meters,µm,"x*1,000,000"
km,µm,"x*1,000,000,000"
kilometers,µm,"x*1,000,000,000"
in,µm,x*25400
inches,µm,x*25400
ft,µm,x*304800
feet,µm,x*304800
yd,µm,x*914400
yards,µm,x*914400
mi,µm,x*1.609e+12
miles,µm,x*1.609e+12
mil,µm,x*25.4
thou,µm,x*25.4
angstrom,µm,x/100
pm,µm,x/1000
picometers,µm,x/1000
fm,µm,x/1e+6
femtometers,µm,x/1e+6
dam,µm,x*1e+7
decameters,µm,x*1e+7
hm,µm,x*1e+8
hectometers,µm,x*1e+8
au,µm,x*1.496e+18
astronomicalunits,µm,x*1.496e+18
ly,µm,x*9.461e+21
lightyears,µm,x*9.461e+21
pc,µm,x*3.086e+22
parsecs,µm,x*3.086e+22
nmi,µm,x*1.852e+12
nauticalmiles,µm,x*1.852e+12
league,µm,x*5.556e+12
fathom,µm,x*1.8288e+6
cable,µm,x*185.2e+6
chain,µm,x*20.1168e+6
rod,µm,x*5.0292e+6
furlong,µm,x*201.168e+6
link,µm,x*201.168e+4
cubit,µm,x*457.2e+4
span,µm,x*228.6e+4.
micrometers,µm,x
s,min,x/60
seconds,min,x/60
h,min,x*60
hours,min,x*60
d,min,x*1440
days,min,x*1440
w,min,x*10080
weeks,min,x*10080
mo,min,x*43800
months,min,x*43800
y,min,x*525600
years,min,x*525600
ms,min,x/60000
milliseconds,min,x/60000
us,min,x/60000000
microseconds,min,x/60000000
ns,min,x/60000000000
nanoseconds,min,x/60000000000
ps,min,x/60000000000000
picoseconds,min,x/60000000000000
fs,min,x/60000000000000000
femtoseconds,min,x/60000000000000000
as,min,x/60000000000000000000
attoseconds,min,x/60000000000000000000
zs,min,x/60000000000000000000000
zeptoseconds,min,x/60000000000000000000000
ys,min,x/60000000000000000000000000
yoctoseconds,min,x/60000000000000000000000000
dec,min,x*5256000
decades,min,x*5256000
cen,min,x*52560000
centuries,min,x*52560000
mil,min,x*525600000
millenniums,min,x*525600000
q,min,x*131400
quarter,min,x*131400
b,min,x*1051200
biennium,min,x*1051200
tri,min,x*1576800
triennium,min,x*1576800
qua,min,x*2102400
quadrennium,min,x*2102400
lustrum,min,x*2628000
decade,min,x*5256000
score,min,x*10512000
century,min,x*52560000
millennium,min,x*525600000
fortnight,min,x*20160
jubilee,min,x*26280000
epoch,min,x*31536000
minutes,min,x
g/cm³,g/cm³,x
gpa,Gpa,x
ohm*cm,Ohm*cm,x
μm,μm,x
um,μm,x
min,min,x
kg/m3,g/cm³,(x)*0.001
um,µm,x
ohm-cm,Ohm*cm,x
ohm.cm,Ohm*cm,x
ohmcm,Ohm*cm,x

